[behavioral] config: /tmp/gemma-multihop.yaml (tier=multihop-gemma3-27b-it-v2-6e07b42243bd)
[behavioral] bank family 'multihop': using 100 of 100 frozen items (config.bank.n_items=None, first-N by file order)
[behavioral] loading model: google/gemma-3-27b-it (dtype=bfloat16)
Loading weights:   0%|          | 0/1247 [00:00<?, ?it/s]Loading weights:  35%|███▍      | 433/1247 [00:00<00:00, 4301.58it/s]Loading weights:  90%|████████▉ | 1117/1247 [00:00<00:00, 5787.43it/s]Loading weights: 100%|██████████| 1247/1247 [00:00<00:00, 5760.44it/s]
[behavioral] model loaded via AutoModelForCausalLM on device=cuda
[behavioral] mechanical single-token filter (['target', 'intermediates']): 85/100 eligible for behavioral testing (15 dropped -- structurally unscoreable under this tokenizer, see mechanical_filter.jsonl)
[behavioral] running 85 items x (1 greedy + 10 sampled @ temp=0.7) generations ...

# Stage C — behavioral pre-check

Model: `google/gemma-3-27b-it`
Mode: plain completion of the item's own prompt (no chat template), scored against `target`. No one-hop sub-check: the bank provides no one-hop prompt field (see Stage A characterization) -- retention below confirms end-to-end composability only, not hop-by-hop factual knowledge.
Pass rule: greedy answer names the target AND >= 8/10 sampled answers (temp=0.7) name it.

## Retention rate: 53/85 = 62.4%

Scored analysis (Stage D) runs on the passing subset only -- items the model cannot solve have no latent intermediate to find and only add noise. A low retention rate is a finding, not something to fix by loosening this check.

| item | target | greedy pass | sampled pass | overall |
|---|---|:---:|---:|:---:|
| atomic-26-symbol | 'Fe' | ✓ | 8/10 | FAIL |
| atomic-79-symbol | 'Au' | ✓ | 8/10 | FAIL |
| birthstone-emerald-month | '5' | ✓ | 6/10 | FAIL |
| chem-organic-Z | '6' | ✓ | 10/10 | PASS |
| chem-photosynthesis-Z | '8' | ✓ | 10/10 | PASS |
| dbl-altitude-antonym | 'low' | ✗ | 0/10 | FAIL |
| etym-caesar-monthnum | '7' | ✓ | 10/10 | PASS |
| firstletter-valentines-month | 'F' | ✓ | 10/10 | PASS |
| func-filters-count | '2' | ✓ | 10/10 | PASS |
| func-pumps-chambers | '4' | ✓ | 10/10 | PASS |
| holiday-independence-monthnum | '7' | ✓ | 10/10 | PASS |
| holiday-valentines-monthnum | '2' | ✓ | 10/10 | PASS |
| inv-antarctica-opposite | 'north' | ✗ | 1/10 | FAIL |
| inv-roots-opposite | 'up' | ✓ | 10/10 | PASS |
| inv-sunrise-opposite | 'west' | ✗ | 1/10 | FAIL |
| month-7-namedafter | 'Caesar' | ✓ | 10/10 | FAIL |
| nhop-cube-element | 'carbon' | ✗ | 0/10 | FAIL |
| nhop-rainbow-element | 'nitrogen' | ✗ | 0/10 | FAIL |
| nhop-spider-element | 'oxygen' | ✗ | 0/10 | FAIL |
| pred-valentines-prevmonth | 'January' | ✓ | 10/10 | PASS |
| rhyme-tree-squared | '9' | ✗ | 0/10 | FAIL |
| spaceneedle-border | 'Canada' | ✗ | 0/10 | FAIL |
| spider-legs | '8' | ✓ | 10/10 | PASS |
| violin-strings | '4' | ✓ | 10/10 | PASS |
| bf-boot-capital | 'Rome' | ✓ | 10/10 | PASS |
| bf-bordeaux-fruit | 'grape' | ✗ | 3/10 | FAIL |
| bf-christmas-season | 'winter' | ✓ | 9/10 | PASS |
| bf-eiffel-currency | 'euro' | ✓ | 10/10 | FAIL |
| bf-fuji-ocean | 'Pacific' | ✓ | 10/10 | PASS |
| bf-giza-continent | 'Africa' | ✓ | 10/10 | PASS |
| bf-kathmandu-mountain | 'Everest' | ✗ | 0/10 | FAIL |
| bf-madrid-language | 'Spanish' | ✓ | 10/10 | PASS |
| bf-moonwalk-firstname | 'Neil' | ✓ | 10/10 | PASS |
| bf-rio2016-language | 'Portuguese' | ✓ | 10/10 | PASS |
| bf-southpole-bird | 'penguin' | ✓ | 10/10 | PASS |
| bf-sphinx-river | 'Nile' | ✓ | 10/10 | PASS |
| bf-sushi-capital | 'Tokyo' | ✓ | 10/10 | PASS |
